0.000000	2.008930	0.088194	1.725362	0.415562
2.775000E-5	1.993357	0.088194	1.724713	0.413616
5.550000E-5	1.997575	0.089492	1.726011	0.415887
8.325000E-5	2.001468	0.088518	1.725362	0.414265
0.000111	2.001792	0.091438	1.726335	0.416211
0.000139	2.007308	0.090141	1.724713	0.415238
0.000166	2.009579	0.091114	1.726984	0.416860
0.000194	2.011850	0.090789	1.725362	0.413616
0.000222	2.015744	0.091438	1.725037	0.414589
0.000250	2.017366	0.091438	1.724713	0.414913
0.000277	2.021908	0.092736	1.724713	0.415238
0.000305	2.023206	0.091763	1.725686	0.413940
0.000333	2.022882	0.095332	1.726011	0.413616
0.000361	2.028073	0.095007	1.727633	0.413940
0.000388	2.028073	0.095332	1.726660	0.413291
0.000416	2.030344	0.095656	1.725362	0.413940
0.000444	2.035535	0.095656	1.725686	0.413291
0.000472	2.042024	0.096954	1.725037	0.413940
0.000499	2.039753	0.097927	1.726011	0.416211
0.000527	2.042998	0.098901	1.727308	0.412967
0.000555	2.046891	0.096954	1.725037	0.413291
0.000583	2.045918	0.100198	1.726335	0.414265
0.000610	2.051109	0.099550	1.725362	0.413616
0.000638	2.055002	0.100847	1.725686	0.410696
0.000666	2.058247	0.102145	1.725686	0.414913
0.000694	2.057922	0.104092	1.726335	0.412967
0.000721	2.060518	0.105390	1.726011	0.412967
0.000749	2.073496	0.106363	1.726335	0.414913
0.000777	2.071225	0.107012	1.726011	0.413616
0.000805	2.068953	0.106363	1.725686	0.414265
0.000832	2.072198	0.108634	1.725362	0.413940
0.000860	2.071874	0.108959	1.725037	0.413616
0.000888	2.077714	0.111230	1.726011	0.413291
0.000916	2.080309	0.112852	1.726335	0.413940
0.000943	2.081931	0.113825	1.726335	0.418158
0.000971	2.084203	0.115123	1.725362	0.413940
0.000999	2.087447	0.116745	1.725686	0.413291
0.001027	2.091989	0.118043	1.724713	0.413291
0.001054	2.095234	0.119341	1.724713	0.413291
0.001082	2.095558	0.121288	1.725362	0.413616
0.001110	2.098154	0.122910	1.726335	0.415238
0.001138	2.101398	0.124857	1.725686	0.412642
0.001165	2.104643	0.127128	1.727633	0.412967
0.001193	2.107563	0.129074	1.725037	0.414913
0.001221	2.109834	0.130048	1.724388	0.415887
0.001249	2.112105	0.131994	1.725686	0.413291
0.001276	2.112105	0.134266	1.725686	0.412318
0.001304	2.119243	0.137186	1.726011	0.412318
0.001332	2.119568	0.139781	1.726335	0.413616
0.001360	2.119892	0.142701	1.726011	0.412318
0.001387	2.124759	0.148866	1.725362	0.411669
0.001415	2.125408	0.146595	1.724388	0.412642
0.001443	2.129301	0.149839	1.725686	0.412318
0.001471	2.134168	0.154057	1.724388	0.410696
0.001498	2.135790	0.156977	1.725686	0.411993
0.001526	2.139035	0.160870	1.725362	0.407776
0.001554	2.141630	0.163790	1.725362	0.411993
0.001582	2.146821	0.167684	1.725037	0.410371
0.001609	2.144875	0.171577	1.724388	0.413291
0.001637	2.145524	0.174822	1.724064	0.412967
0.001665	2.150066	0.179364	1.724064	0.410047
0.001693	2.155257	0.184880	1.723740	0.413291
0.001720	2.156230	0.190720	1.724713	0.412642
0.001748	2.160448	0.199155	1.724388	0.411993
0.001776	2.164017	0.204022	1.725362	0.412318
0.001804	2.164666	0.208889	1.725686	0.412318
0.001831	2.166937	0.213431	1.724713	0.412967
0.001859	2.170182	0.219595	1.724064	0.414265
0.001887	2.173426	0.227058	1.724713	0.410047
0.001915	2.174075	0.235818	1.724388	0.412967
0.001942	2.176022	0.248471	1.724388	0.414913
0.001970	2.179266	0.258854	1.724388	0.411344
0.001998	2.183484	0.269236	1.723415	0.412318
0.002026	2.180889	0.279618	1.723091	0.411993
0.002053	2.187053	0.288379	1.723740	0.413616
0.002081	2.190622	0.299410	1.723740	0.411993
0.002109	2.196138	0.312063	1.724713	0.411344
0.002137	2.195164	0.328286	1.725037	0.413616
0.002164	2.198084	0.346130	1.723415	0.412967
0.002192	2.202627	0.364299	1.724713	0.412318
0.002220	2.205547	0.382469	1.724388	0.412642
0.002248	2.203924	0.402584	1.722766	0.412642
0.002275	2.210089	0.423998	1.722766	0.409073
0.002303	2.212685	0.448981	1.723415	0.411344
0.002331	2.216254	0.477532	1.723740	0.410371
0.002359	2.218525	0.509652	1.723740	0.411993
0.002386	2.210738	0.544693	1.723740	0.411993
0.002414	2.221445	0.581680	1.723091	0.409722
0.002442	2.222418	0.621263	1.722766	0.412642
0.002470	2.227285	0.657925	1.722442	0.411344
0.002497	2.230529	0.697184	1.722766	0.410371
0.002525	2.232152	0.738064	1.724064	0.410047
0.002553	2.233774	0.787705	1.722766	0.410696
0.002581	2.237667	0.843834	1.722117	0.413940
0.002608	2.242534	0.900937	1.722442	0.411020
0.002636	2.241885	0.953174	1.722442	0.410696
0.002664	2.246752	0.999570	1.722117	0.411669
0.002692	2.248374	1.039152	1.722117	0.411669
0.002719	2.250321	1.070624	1.722442	0.411993
0.002747	2.251619	1.099824	1.722442	0.411669
0.002775	2.255187	1.132594	1.721793	0.410696
0.002803	2.257783	1.162118	1.720495	0.412642
0.002830	2.261352	1.184181	1.720171	0.410047
0.002858	2.262650	1.200403	1.720495	0.410047
0.002886	2.264272	1.208190	1.721793	0.412642
0.002914	2.271086	1.210786	1.721468	0.411669
0.002941	2.271086	1.208839	1.720819	0.409398
0.002969	2.271410	1.201701	1.720495	0.409398
0.002997	2.277899	1.192292	1.720819	0.410371
0.003025	2.283090	1.175421	1.719197	0.410371
0.003052	2.279521	1.155629	1.719522	0.411020
